"file","source_group","size_bytes","modified"
"idr_model_idr_model_plots__fig1_dashboard.png","idr_model_idr_model_plots","133586","2026-05-17 22:42:24"
"idr_model_idr_model_plots__fig1_inclusion_dashboard.png","idr_model_idr_model_plots","139930","2026-05-17 22:42:24"
"idr_model_idr_model_plots__fig2_inclusion_sigma_norm.png","idr_model_idr_model_plots","75812","2026-05-17 22:42:24"
"idr_model_idr_model_plots__fig2_sigma_norm.png","idr_model_idr_model_plots","45034","2026-05-17 22:42:24"
"idr_model_idr_model_plots__fig3_inclusion_fields.png","idr_model_idr_model_plots","95641","2026-05-17 22:42:24"
"idr_model_idr_model_plots__fig3_joule.png","idr_model_idr_model_plots","37345","2026-05-17 22:42:24"
"idr_model_idr_model_plots__fig4_inclusion_joule.png","idr_model_idr_model_plots","36149","2026-05-17 22:42:24"
"idr_model_idr_model_plots__fig4_parametric_R.png","idr_model_idr_model_plots","53544","2026-05-17 22:42:24"
"idr_model_idr_model_plots__fig5_fields_comparison.png","idr_model_idr_model_plots","97299","2026-05-17 22:42:24"
"idr_model_idr_model_plots__fig6_parametric_p.png","idr_model_idr_model_plots","56078","2026-05-17 22:42:24"
"idr_model_idr_model_plots__fig7_convergence.png","idr_model_idr_model_plots","50416","2026-05-17 22:42:24"
"idr_model_plots__compare_L.png","idr_model_plots","221909","2026-05-17 22:42:24"
"idr_model_plots__comparison_model_vs_exp.png","idr_model_plots","256842","2026-05-17 22:42:24"
"idr_model_plots__fig_2d_convergence.png","idr_model_plots","24894","2026-03-08 23:06:48"
"idr_model_plots__fig_2d_dashboard.png","idr_model_plots","110678","2026-03-08 23:06:48"
"idr_model_plots__fig_2d_inc_dashboard.png","idr_model_plots","123954","2026-05-17 22:42:24"
"idr_model_plots__fig_2d_inc_fields.png","idr_model_plots","91153","2026-05-17 22:42:24"
"idr_model_plots__fig_2d_inc_sigma_norm.png","idr_model_plots","79721","2026-05-17 22:42:24"
"idr_model_plots__fig_2d_midplane.png","idr_model_plots","72141","2026-03-08 23:06:48"
"idr_model_plots__fig1_dashboard.png","idr_model_plots","133586","2026-05-17 22:42:24"
"idr_model_plots__fig1_inclusion_dashboard.png","idr_model_plots","139930","2026-05-17 22:42:24"
"idr_model_plots__fig2_inclusion_sigma_norm.png","idr_model_plots","75812","2026-05-17 22:42:24"
"idr_model_plots__fig2_sigma_norm.png","idr_model_plots","45034","2026-05-17 22:42:24"
"idr_model_plots__fig3_inclusion_fields.png","idr_model_plots","95641","2026-05-17 22:42:24"
"idr_model_plots__fig3_joule.png","idr_model_plots","37345","2026-05-17 22:42:24"
"idr_model_plots__fig4_inclusion_joule.png","idr_model_plots","36149","2026-05-17 22:42:24"
"idr_model_plots__fig4_parametric_R.png","idr_model_plots","53544","2026-05-17 22:42:24"
"idr_model_plots__fig5_fields_comparison.png","idr_model_plots","97299","2026-05-17 22:42:24"
"idr_model_plots__fig6_parametric_p.png","idr_model_plots","56078","2026-05-17 22:42:24"
"idr_model_plots__fig7_convergence.png","idr_model_plots","50416","2026-05-17 22:42:24"
"idr_model_plots__figP1_poiseuille_profiles.png","idr_model_plots","97917","2026-05-17 22:42:24"
"idr_model_plots__figP2_velocity_vs_density.png","idr_model_plots","75636","2026-05-17 22:42:24"
"idr_model_plots__figP3_bisection_convergence.png","idr_model_plots","57686","2026-05-17 22:42:24"
"idr_model_plots__figP4_lambda_scan.png","idr_model_plots","91773","2026-05-17 22:42:24"
"idr_model_plots_check_2d__fig_2d_convergence.png","idr_model_plots_check_2d","24548","2026-05-17 22:42:24"
"idr_model_plots_check_2d__fig_2d_dashboard.png","idr_model_plots_check_2d","112474","2026-05-17 22:42:24"
"idr_model_plots_check_2d__fig_2d_midplane.png","idr_model_plots_check_2d","75271","2026-05-17 22:42:24"
"idr_model_plots_check_2d__fig_2d_midplane_detailed.png","idr_model_plots_check_2d","104705","2026-05-17 22:42:24"
"idr_model_plots_check_2d__fig_2d_self_consistent_midplane.png","idr_model_plots_check_2d","101924","2026-05-17 22:42:24"
"plots__compare_trends.png","plots","160521","2026-05-17 22:42:24"
"plots__comparison_model_vs_exp.png","plots","344995","2026-05-17 22:42:24"
