file,source_full_figure,panel,title
compare_trends__panel01__Влияние_давления_H_z_0_H_z_R_vs_p.png,plots\regenerated_full\compare_trends.png,1,"Влияние давления
$H_z(0)/H_z(R)$ vs $p$"
compare_trends__panel02__Влияние_мощности_j_vs_P_p_нормировано.png,plots\regenerated_full\compare_trends.png,2,"Влияние мощности
$j_\varphi$ vs $P_p$ (нормировано)"
compare_trends__panel03__Влияние_расхода_газа_j_vs_G_нормировано.png,plots\regenerated_full\compare_trends.png,3,"Влияние расхода газа
$j_\varphi$ vs $G$ (нормировано)"
comparison_model_vs_exp__panel01__Профиль_H_z_r_H_z_R_Рис._2.27_кривая_3_ВЧИ_Ar_G_0_z_-120_мм.png,plots\regenerated_full\comparison_model_vs_exp.png,1,"Профиль $H_z(r)/H_z(R)$
(Рис. 2.27, кривая 3: ВЧИ, Ar, G=0, $z=-120$ мм)"
comparison_model_vs_exp__panel02__Профиль_j_r_j_Рис._2.33_кривая_3_ВЧИ_Ar_G_0_z_-120_мм.png,plots\regenerated_full\comparison_model_vs_exp.png,2,"Профиль $j_\varphi(r)/j_{\varphi,\max}$
(Рис. 2.33, кривая 3: ВЧИ, Ar, G=0, $z=-120$ мм)"
comparison_model_vs_exp__panel03__n_e_r_z_2D_модель_L_50_мм.png,plots\regenerated_full\comparison_model_vs_exp.png,3,"$n_e(r,z)$ — 2D модель, $L=50$ мм"
comparison_model_vs_exp__panel04__a_r_z_2D_модель_L_50_мм.png,plots\regenerated_full\comparison_model_vs_exp.png,4,"$\sigma_a(r,z)$ — 2D модель, $L=50$ мм"
comparison_model_vs_exp__panel05__Осевой_профиль_j_z_j_Рис._2.34_кривая_1_ВЧИ_Ar_G_0.png,plots\regenerated_full\comparison_model_vs_exp.png,5,"Осевой профиль $j_\varphi(z)/j_{\varphi,\max}$
(Рис. 2.34, кривая 1: ВЧИ, Ar, G=0)"
fig1_dashboard__panel01__Magnetic_field_H_2_r.png,plots\regenerated_full\fig1_dashboard.png,1,Magnetic field  $|H|^2(r)$
fig1_dashboard__panel02__Electric_field_E_2_r.png,plots\regenerated_full\fig1_dashboard.png,2,Electric field  $|E|^2(r)$
